,address
254,"116.35,40.02"
255,"116.16,40.17"
256,"116.51,40.12"
257,"116.86,39.83"
258,"116.06,40.22"
259,"116.31,40.10"
260,"116.49,39.97"
261,"116.33,40.04"
262,"116.39,40.26"
263,"116.45,40.03"
264,"117.15,40.42"
265,"116.83,39.67"
266,"116.92,39.75"
267,"116.87,40.39"
268,"117.24,40.62"
269,"116.36,39.53"
270,"115.94,39.62"
271,"116.71,39.79"
272,"116.63,39.82"
273,"116.99,40.05"
274,"115.69,39.63"
275,"115.59,40.05"
276,"116.68,40.13"
277,"116.40,40.46"
278,"116.37,40.03"
279,"116.41,39.59"
280,"116.24,39.69"
281,"116.45,39.54"
282,"116.90,40.16"
283,"116.48,39.64"
284,"116.19,39.84"
285,"116.39,40.09"
286,"116.22,39.92"
287,"116.26,39.77"
288,"116.51,40.47"
289,"116.07,39.86"
290,"116.68,39.83"
291,"116.16,40.16"
292,"116.13,40.15"
293,"116.21,39.74"
294,"116.32,40.07"
295,"116.27,40.03"
296,"116.27,39.60"
297,"116.05,39.63"
298,"116.47,39.94"
299,"117.01,40.07"
300,"116.87,39.82"
301,"116.52,40.14"
302,"116.37,40.21"
303,"116.32,40.02"
304,"116.51,39.86"
305,"116.29,40.22"
306,"116.14,39.64"
307,"116.43,40.17"
308,"116.45,39.90"
309,"117.32,40.64"
310,"116.05,40.28"
311,"116.27,40.39"
312,"116.00,40.46"
313,"117.02,40.14"
314,"116.40,40.04"
315,"116.43,39.73"
316,"116.35,40.25"
317,"116.59,39.99"
318,"116.18,40.02"
319,"116.45,39.74"
320,"115.95,40.43"
321,"115.97,39.79"
322,"116.44,39.61"
323,"116.52,39.73"
324,"116.06,39.63"
325,"116.95,40.29"
326,"115.85,39.64"
327,"117.08,40.13"
328,"116.64,40.10"
329,"116.45,40.24"
330,"116.51,39.85"
331,"115.97,40.45"
332,"116.81,40.14"
333,"115.96,39.89"
334,"116.93,40.16"
335,"116.69,39.81"
336,"116.46,39.76"
337,"116.87,40.47"
338,"116.38,40.70"
339,"116.06,40.29"
340,"116.29,40.06"
341,"115.95,39.63"
342,"115.62,39.94"
343,"116.23,39.91"
344,"116.09,39.81"
345,"116.80,40.17"
346,"116.44,39.75"
347,"115.92,39.69"
348,"116.29,40.08"
349,"116.55,40.21"
350,"116.63,40.23"
351,"116.61,39.80"
352,"116.65,39.81"
353,"116.45,40.09"
354,"116.63,39.86"
355,"116.85,40.06"
356,"116.13,40.04"
357,"116.19,40.18"
358,"116.81,40.48"
359,"116.50,40.01"
360,"116.37,39.99"
361,"116.05,39.62"
362,"116.45,39.79"
363,"115.83,39.56"
364,"116.52,39.83"
365,"116.89,40.12"
366,"116.23,40.24"
367,"116.19,40.07"
368,"117.09,40.13"
369,"116.45,40.21"
370,"116.63,39.72"
371,"116.50,39.87"
372,"116.19,39.76"
373,"116.44,40.08"
374,"116.64,40.12"
375,"116.38,40.23"
376,"115.82,39.57"
377,"116.98,40.06"
378,"116.79,40.54"
379,"116.47,39.74"
380,"116.09,39.80"
381,"117.20,40.20"
382,"116.07,39.61"
383,"116.14,39.89"
384,"116.22,40.30"
385,"116.23,40.31"
386,"116.42,39.95"
387,"116.39,39.61"
388,"116.35,40.04"
389,"116.69,40.29"
390,"116.44,39.70"
391,"116.00,40.31"
392,"116.38,40.02"
393,"116.41,40.23"
394,"116.45,39.56"
395,"116.07,39.84"
396,"116.37,40.14"
397,"116.60,39.80"
398,"116.67,40.15"
399,"116.33,40.13"
400,"116.77,39.84"
401,"116.54,40.19"
402,"116.88,40.48"
403,"116.15,40.04"
404,"116.19,39.95"
405,"116.64,40.16"
406,"116.10,39.90"
407,"116.14,39.74"
408,"116.74,40.43"
409,"116.39,40.21"
410,"116.65,39.84"
411,"116.51,39.93"
412,"116.55,40.01"
413,"116.66,40.68"
414,"116.46,40.13"
415,"116.70,40.33"
416,"116.28,40.05"
417,"116.20,39.87"
418,"116.59,40.12"
419,"116.28,40.12"
420,"116.51,40.07"
421,"116.28,39.72"
422,"116.51,40.26"
423,"116.96,40.19"
424,"116.82,39.64"
425,"116.23,39.93"
426,"115.67,39.96"
427,"116.61,39.92"
428,"116.77,39.69"
429,"116.56,39.85"
430,"116.51,39.82"
431,"116.63,39.61"
432,"116.41,39.67"
433,"115.96,40.41"
434,"116.25,39.57"
435,"116.77,40.10"
436,"116.24,39.99"
437,"115.91,39.74"
438,"117.20,40.17"
439,"115.97,40.48"
440,"116.63,39.97"
441,"116.50,39.86"
442,"115.92,40.37"
443,"116.50,39.63"
444,"116.33,39.74"
445,"116.03,39.67"
446,"116.42,39.55"
447,"116.49,39.91"
448,"115.91,40.37"
449,"116.11,39.95"
450,"115.63,39.83"
451,"116.50,39.58"
452,"116.82,39.69"
453,"115.94,39.69"
454,"116.56,39.67"
455,"116.34,40.00"
456,"116.44,39.77"
457,"116.26,39.72"
458,"116.07,39.59"
459,"116.29,39.96"
460,"116.53,40.06"
461,"116.76,40.31"
462,"116.36,39.77"
463,"116.19,39.87"
464,"116.51,39.92"
465,"116.15,39.98"
466,"116.13,39.78"
467,"116.61,39.86"
468,"116.81,39.87"
469,"116.68,39.73"
470,"116.66,40.06"
471,"116.83,40.07"
472,"116.56,40.39"
473,"116.30,40.13"
474,"116.19,39.94"
475,"116.69,40.23"
476,"116.50,40.17"
477,"117.21,40.20"
478,"116.43,39.91"
479,"116.14,40.14"
480,"116.84,39.77"
481,"116.64,40.14"
482,"116.83,40.09"
483,"116.10,40.11"
484,"116.28,40.07"
485,"115.92,40.42"
486,"116.65,39.96"
487,"116.41,39.54"
488,"116.26,40.18"
489,"116.61,39.85"
490,"116.59,40.17"
491,"116.03,39.66"
492,"116.11,40.51"
493,"116.16,40.13"
494,"116.24,39.65"
495,"116.86,40.10"
496,"116.48,39.78"
497,"116.44,40.06"
498,"116.58,40.31"
499,"116.33,39.82"
500,"116.09,40.12"
501,"117.29,40.18"
502,"116.47,40.22"
503,"116.09,39.96"
504,"116.44,40.00"
505,"116.01,40.07"
506,"116.82,40.12"
507,"116.98,40.05"
508,"116.19,39.82"
509,"116.66,40.10"
510,"115.85,40.03"
511,"116.71,39.70"
512,"116.30,39.50"
513,"115.62,39.72"
514,"116.05,39.79"
515,"116.32,39.57"
516,"116.01,40.40"
517,"116.82,40.25"
518,"116.91,40.15"
519,"116.63,40.08"
520,"116.21,40.09"
521,"116.17,39.98"
522,"116.68,40.11"
523,"115.93,40.36"
524,"116.30,40.08"
525,"116.70,40.17"
526,"116.18,40.16"
527,"116.40,39.80"
528,"116.10,39.92"
529,"116.62,40.22"
530,"116.63,39.90"
531,"116.64,40.18"
532,"116.77,40.40"
533,"115.57,39.99"
534,"116.21,40.26"
535,"116.22,40.18"
536,"116.36,39.85"
537,"116.54,39.74"
538,"116.27,39.63"
539,"116.03,39.90"
540,"115.99,40.49"
541,"115.93,39.96"
542,"116.79,40.37"
543,"116.26,40.12"
544,"115.92,39.75"
545,"116.75,39.90"
546,"116.35,39.76"
547,"116.31,40.41"
548,"116.05,39.97"
549,"115.93,39.69"
550,"116.64,40.32"
551,"116.52,40.25"
552,"116.45,40.11"
553,"116.19,39.75"
554,"116.40,40.27"
555,"116.07,39.73"
556,"116.16,40.31"
557,"116.23,40.30"
558,"116.48,39.58"
559,"116.34,39.57"
560,"116.51,40.13"
561,"116.73,40.27"
562,"116.25,39.75"
563,"116.25,40.09"
564,"116.55,39.92"
565,"116.20,40.24"
566,"117.11,40.17"
567,"116.27,40.02"
568,"116.67,39.83"
569,"116.15,39.92"
570,"116.72,39.83"
571,"116.67,39.85"
572,"116.52,39.92"
573,"116.56,40.09"
574,"116.76,40.23"
575,"116.54,40.41"
576,"116.80,40.27"
577,"116.68,39.87"
578,"116.85,39.80"
579,"116.60,40.18"
580,"116.89,39.71"
581,"116.14,39.91"
582,"116.41,39.64"
583,"116.78,39.87"
584,"116.56,39.75"
585,"116.54,40.24"
586,"116.52,39.67"
587,"115.90,40.39"
588,"115.98,39.63"
589,"116.39,39.75"
590,"116.61,40.97"
591,"116.22,40.37"
592,"116.62,39.62"
593,"115.78,40.31"
594,"116.74,40.04"
595,"116.00,39.93"
596,"116.71,39.93"
597,"116.48,39.70"
598,"116.66,40.01"
599,"116.31,39.53"
600,"116.64,39.86"
601,"116.55,39.77"
602,"116.81,40.56"
603,"116.49,39.94"
604,"116.85,39.72"
605,"117.11,40.21"
606,"116.57,39.78"
607,"116.69,40.68"
608,"116.19,40.31"
609,"116.52,40.05"
610,"116.08,39.95"
611,"116.66,40.30"
612,"116.67,40.27"
613,"116.84,39.80"
614,"116.13,40.25"
615,"116.84,39.79"
616,"116.55,39.82"
617,"116.35,39.59"
618,"116.46,40.02"
619,"116.23,40.25"
620,"116.04,39.88"
621,"117.09,40.39"
622,"116.48,39.93"
623,"115.89,39.66"
624,"116.21,39.70"
625,"116.73,40.25"
626,"116.11,39.78"
627,"116.83,40.37"
628,"116.49,39.96"
629,"117.12,40.26"
630,"116.36,40.06"
631,"116.05,40.56"
632,"115.71,39.99"
633,"117.23,40.66"
634,"116.40,40.07"
635,"116.81,40.54"
636,"116.80,39.75"
637,"116.35,40.17"
638,"116.29,39.90"
639,"116.00,40.33"
640,"116.45,39.80"
641,"116.31,40.09"
642,"116.71,39.86"
643,"116.75,39.99"
644,"116.65,39.91"
645,"116.19,39.77"
646,"116.69,39.74"
647,"116.94,40.09"
648,"116.61,39.96"
649,"116.09,40.11"
650,"116.72,39.94"
651,"116.71,39.91"
652,"116.51,40.21"
653,"116.17,40.18"
654,"116.18,39.89"
655,"116.49,40.24"
656,"116.32,39.67"
657,"116.16,40.41"
658,"116.37,39.65"
659,"115.92,40.02"
660,"116.16,39.75"
661,"116.70,40.08"
662,"116.36,39.58"
663,"117.11,40.32"
664,"116.43,40.44"
665,"116.82,40.43"
666,"116.51,40.34"
667,"116.28,39.86"
668,"116.61,39.88"
669,"116.51,39.96"
670,"116.86,40.13"
671,"116.01,40.42"
672,"115.92,40.43"
673,"116.38,39.73"
674,"116.34,40.15"
675,"116.48,39.76"
676,"116.41,39.66"
677,"116.54,40.28"
678,"116.84,40.14"
679,"116.82,39.84"
680,"116.39,39.56"
681,"116.15,39.78"
682,"116.40,39.77"
683,"116.37,39.68"
684,"116.79,40.24"
685,"116.53,39.81"
686,"117.10,40.52"
687,"115.96,39.63"
688,"116.09,40.52"
689,"116.86,39.71"
690,"116.29,39.99"
691,"116.31,40.14"
692,"116.30,39.69"
693,"116.42,39.97"
694,"116.06,39.67"
695,"116.80,39.88"
696,"116.61,40.30"
697,"116.22,39.86"
698,"116.22,39.85"
699,"116.54,39.80"
700,"116.56,40.07"
701,"116.03,39.58"
702,"116.53,39.73"
703,"116.13,40.22"
704,"116.34,39.51"
705,"116.36,40.14"
706,"116.60,39.82"
707,"116.18,39.69"
708,"116.41,40.20"
709,"116.10,39.94"
710,"116.48,39.89"
711,"116.61,39.81"
712,"116.03,39.65"
713,"115.99,39.72"
714,"116.67,40.17"
715,"116.51,40.25"
716,"116.44,39.68"
717,"116.39,39.66"
718,"116.75,40.00"
719,"116.51,39.64"
720,"116.92,40.16"
721,"116.35,39.82"
722,"116.33,39.57"
723,"116.12,39.91"
724,"116.90,40.40"
725,"116.63,40.03"
726,"115.55,39.70"
727,"116.99,40.25"
728,"116.81,40.19"
729,"116.21,39.71"
730,"116.03,40.15"
731,"116.29,40.21"
732,"116.74,39.88"
733,"116.57,39.86"
734,"116.64,40.26"
735,"116.14,40.21"
736,"117.01,40.31"
737,"116.31,39.78"
738,"116.69,39.83"
739,"115.92,40.45"
740,"116.32,39.49"
741,"116.63,39.66"
742,"116.73,40.03"
743,"116.49,39.73"
744,"116.32,39.94"
745,"116.73,40.12"
746,"116.14,40.09"
747,"115.80,40.46"
748,"116.62,39.65"
749,"117.28,40.66"
750,"116.39,39.87"
751,"116.79,39.82"
752,"116.04,39.82"
753,"116.64,40.33"
754,"116.09,40.28"
755,"116.01,39.71"
756,"116.78,40.09"
757,"117.00,40.04"
758,"115.93,39.70"
759,"116.51,39.81"
760,"116.14,39.81"
761,"116.25,40.13"
762,"116.32,40.11"
763,"116.79,40.21"
764,"115.88,39.56"
765,"116.64,40.28"
766,"116.16,39.60"
767,"117.19,40.35"
768,"116.71,40.27"
769,"116.28,39.91"
770,"116.69,39.61"
771,"116.85,40.41"
772,"116.75,39.93"
773,"116.21,40.18"
774,"116.71,40.16"
775,"116.82,40.38"
776,"116.68,40.12"
777,"116.27,40.11"
778,"116.82,40.44"
779,"116.27,39.88"
780,"116.69,40.00"
781,"116.44,39.85"
782,"116.27,39.56"
783,"116.46,40.04"
784,"116.82,39.87"
785,"115.82,39.55"
786,"116.99,40.28"
787,"116.23,39.67"
788,"116.12,40.24"
789,"116.14,39.76"
790,"116.40,39.66"
791,"116.53,40.07"
792,"116.57,40.25"
793,"116.20,39.84"
794,"116.59,39.89"
795,"116.57,39.87"
796,"116.81,40.13"
797,"116.06,39.87"
798,"116.83,39.80"
799,"116.19,39.74"
800,"116.06,39.60"
801,"115.72,39.84"
802,"116.16,40.52"
803,"116.04,39.75"
804,"116.23,40.17"
805,"116.73,40.08"
806,"116.35,39.95"
807,"116.57,39.77"
808,"116.18,40.15"
809,"116.73,40.33"
810,"116.09,39.91"
811,"116.21,40.15"
812,"116.49,39.70"
813,"116.51,40.04"
814,"116.53,40.02"
815,"116.13,39.68"
816,"116.12,39.58"
817,"116.83,39.81"
818,"115.82,39.66"
819,"116.09,40.10"
820,"116.38,39.97"
821,"116.67,40.08"
822,"116.56,39.93"
823,"116.55,39.74"
824,"116.68,39.79"
825,"116.60,40.16"
826,"116.39,39.84"
827,"116.66,40.00"
828,"116.20,40.22"
829,"116.24,39.89"
830,"116.74,39.63"
831,"115.97,40.10"
832,"116.50,39.72"
833,"116.14,39.95"
834,"116.41,40.07"
835,"116.17,39.72"
836,"116.53,39.75"
837,"116.04,39.59"
838,"116.30,40.01"
839,"116.81,40.15"
840,"116.61,39.73"
841,"116.47,40.05"
842,"116.62,40.45"
843,"116.07,39.67"
844,"116.82,40.49"
845,"116.64,40.02"
846,"116.24,40.29"
847,"116.20,39.81"
848,"116.61,39.94"
849,"116.98,40.24"
850,"116.70,39.93"
851,"116.43,39.70"
852,"116.55,40.39"
853,"116.81,40.28"
854,"116.49,39.83"
855,"115.77,39.90"
856,"116.09,40.23"
857,"116.74,39.75"
858,"116.62,40.34"
859,"116.34,39.52"
860,"115.79,39.52"
861,"116.32,39.61"
862,"116.74,39.97"
863,"116.12,39.78"
864,"116.10,39.76"
865,"116.51,40.19"
866,"116.67,39.70"
867,"116.30,40.22"
868,"116.66,40.16"
869,"116.25,39.69"
870,"116.26,40.14"
871,"116.32,39.68"
872,"116.92,40.11"
873,"116.03,39.71"
874,"116.63,40.25"
875,"116.61,40.41"
876,"116.41,39.65"
877,"116.83,39.83"
878,"116.47,40.17"
879,"116.70,40.10"
880,"116.76,39.72"
881,"115.84,39.58"
882,"116.21,40.02"
883,"116.75,39.85"
884,"116.82,40.19"
885,"116.65,39.86"
886,"116.09,39.78"
887,"116.27,39.92"
888,"115.99,39.77"
889,"116.89,40.46"
890,"116.66,40.53"
891,"116.59,40.09"
892,"116.51,40.17"
893,"116.85,40.22"
894,"116.08,40.00"
895,"116.60,39.98"
896,"116.50,40.24"
897,"116.35,39.70"
898,"116.13,39.80"
899,"116.81,39.78"
900,"116.47,39.96"
901,"116.49,40.01"
902,"116.09,39.99"
903,"116.36,40.22"
904,"116.88,39.81"
905,"116.58,40.30"
906,"116.28,40.11"
907,"116.85,39.74"
908,"116.55,39.79"
909,"116.63,40.10"
910,"116.51,39.70"
911,"116.37,39.80"
912,"116.80,40.04"
913,"116.33,39.64"
914,"116.38,39.93"
915,"116.64,40.11"
916,"116.78,40.28"
917,"116.48,40.16"
918,"116.04,39.98"
919,"116.62,40.18"
920,"116.88,40.38"
921,"116.80,39.70"
922,"116.46,39.62"
923,"116.33,39.79"
924,"116.27,40.14"
925,"116.01,40.30"
926,"116.23,40.03"
927,"116.35,39.84"
928,"116.63,40.14"
929,"116.20,39.74"
930,"116.13,39.67"
931,"116.42,39.83"
932,"116.18,39.95"
933,"117.08,40.16"
934,"116.54,40.00"
935,"116.15,40.06"
936,"116.01,39.90"
937,"116.11,40.00"
938,"116.24,40.08"
939,"116.44,39.83"
940,"116.15,39.62"
941,"117.11,40.16"
942,"116.48,40.15"
943,"116.64,39.87"
944,"116.41,39.94"
945,"116.88,40.61"
946,"116.39,39.79"
947,"116.48,40.09"
948,"115.98,39.97"
949,"116.27,39.98"
950,"117.01,40.10"
951,"116.97,40.40"
952,"116.31,39.86"
953,"116.04,40.46"
954,"117.05,40.39"
955,"116.47,40.14"
956,"116.65,40.08"
957,"116.31,39.56"
958,"116.24,40.28"
959,"116.45,40.16"
960,"116.49,39.72"
961,"117.13,40.53"
962,"116.13,39.91"
963,"116.81,40.11"
964,"116.11,39.83"
965,"116.40,39.81"
966,"116.57,40.04"
967,"116.33,39.84"
968,"117.08,40.15"
969,"116.14,39.93"
970,"115.89,40.37"
971,"116.18,40.21"
972,"116.28,40.26"
973,"116.55,39.97"
974,"117.15,40.38"
975,"116.10,40.23"
976,"116.69,40.27"
977,"116.34,39.60"
978,"116.32,39.93"
979,"116.55,40.29"
980,"116.03,40.50"
981,"116.06,39.73"
982,"116.25,40.29"
983,"117.14,40.41"
984,"116.25,40.03"
985,"116.36,39.87"
986,"116.53,39.87"
987,"117.18,40.12"
988,"115.97,39.99"
989,"116.10,40.07"
990,"116.35,40.01"
991,"116.70,40.09"
992,"116.44,39.84"
993,"117.17,40.49"
994,"117.14,40.14"
995,"116.17,40.04"
996,"116.66,40.48"
997,"116.43,40.26"
998,"117.04,40.48"
999,"116.14,40.24"
1000,"116.34,39.64"
1001,"116.38,39.74"
1002,"116.75,40.39"
1003,"116.15,40.11"
1004,"115.89,40.03"
1005,"116.23,39.72"
1006,"116.16,40.07"
1007,"116.20,39.95"
1008,"116.65,40.29"
1009,"116.27,39.99"
1010,"116.92,40.09"
1011,"116.24,39.79"
1012,"116.21,40.23"
1013,"116.74,40.14"
1014,"116.48,40.06"
1015,"117.10,40.31"
1016,"116.47,40.18"
1017,"116.59,39.91"
1018,"116.81,40.24"
1019,"116.64,40.20"
1020,"116.54,40.62"
1021,"117.13,40.11"
1022,"116.47,39.83"
1023,"116.25,39.98"
1024,"116.85,40.18"
1025,"116.43,40.09"
1026,"116.59,40.00"
1027,"116.88,40.06"
1028,"116.71,40.17"
1029,"116.69,40.05"
1030,"116.54,39.76"
1031,"115.50,40.03"
1032,"115.80,39.59"
1033,"115.78,39.89"
1034,"116.03,40.33"
1035,"116.05,39.70"
1036,"116.44,39.71"
1037,"116.75,40.13"
1038,"116.43,40.25"
1039,"116.36,40.48"
1040,"116.35,39.71"
1041,"116.67,39.72"
1042,"116.21,40.57"
1043,"116.54,39.89"
1044,"116.10,40.22"
1045,"116.26,40.27"
1046,"116.26,39.89"
1047,"116.10,39.60"
1048,"116.40,39.74"
1049,"116.31,39.85"
1050,"115.64,40.00"
1051,"116.77,40.34"
1052,"116.70,39.69"
1053,"116.54,39.94"
1054,"116.78,39.70"
1055,"116.15,39.73"
1056,"116.58,40.22"
1057,"116.32,40.15"
1058,"116.60,40.02"
1059,"116.78,40.24"
1060,"116.80,40.37"
1061,"116.90,40.20"
1062,"115.99,39.61"
1063,"116.36,40.07"
1064,"116.14,40.25"
1065,"115.96,39.66"
1066,"116.20,39.72"
1067,"116.61,39.66"
1068,"116.68,40.08"
1069,"116.55,40.03"
1070,"116.38,39.94"
1071,"115.63,39.76"
1072,"116.54,40.12"
1073,"116.26,40.23"
1074,"116.15,39.94"
1075,"116.55,40.08"
1076,"116.22,40.25"
1077,"116.57,39.72"
1078,"116.33,40.03"
1079,"116.79,40.04"
1080,"115.96,40.47"
1081,"116.14,40.18"
1082,"117.28,40.20"
1083,"117.04,40.06"
1084,"116.52,39.65"
1085,"116.81,39.85"
1086,"116.56,39.72"
1087,"116.86,39.73"
1088,"116.79,39.77"
1089,"116.57,39.70"
1090,"116.83,40.38"
1091,"116.56,40.25"
1092,"116.42,39.79"
1093,"115.83,40.48"
1094,"116.33,40.15"
1095,"116.29,40.13"
1096,"116.42,40.02"
1097,"116.55,39.71"
1098,"116.41,39.77"
1099,"115.71,39.73"
1100,"116.64,39.64"
1101,"116.88,39.82"
1102,"116.03,39.73"
1103,"116.75,39.97"
1104,"117.25,40.64"
1105,"116.53,39.90"
1106,"116.55,40.09"
1107,"116.61,40.10"
1108,"116.10,40.19"
1109,"116.47,39.61"
1110,"117.02,40.24"
1111,"116.66,39.80"
1112,"116.34,39.67"
1113,"116.78,40.10"
1114,"116.70,40.45"
1115,"116.67,39.62"
1116,"116.05,39.64"
1117,"116.79,40.32"
1118,"116.31,39.95"
1119,"117.16,40.24"
1120,"116.08,39.63"
1121,"116.67,40.03"
1122,"116.12,40.25"
1123,"115.68,39.60"
1124,"116.41,39.60"
1125,"116.29,40.03"
1126,"116.78,39.64"
1127,"116.72,39.82"
1128,"116.57,39.69"
1129,"116.74,39.96"
1130,"116.70,39.74"
1131,"116.10,39.65"
1132,"116.64,40.41"
1133,"116.33,39.47"
1134,"116.27,40.29"
1135,"116.26,40.25"
1136,"116.94,40.14"
1137,"115.89,40.51"
1138,"116.61,40.22"
1139,"116.40,40.21"
1140,"116.29,40.00"
1141,"116.70,39.89"
1142,"116.70,39.81"
1143,"117.14,40.17"
1144,"116.31,39.62"
1145,"116.83,39.85"
1146,"115.81,40.47"
1147,"116.53,39.84"
1148,"116.52,39.60"
1149,"116.40,39.94"
1150,"116.65,39.68"
1151,"116.77,39.82"
1152,"115.85,39.62"
