,address,address_lng,address_lat,Subway_number_list,Bus_number_list,University_number_list,Middle_School_number_list
175,"116.72,39.97",116.72,39.97,0.0,8.0,0.0,0.0
176,"116.51,39.68",116.51,39.68,0.0,6.0,0.0,0.0
177,"116.85,40.25",116.85,40.25,0.0,2.0,0.0,0.0
178,"116.54,40.43",116.54,40.43,0.0,6.0,0.0,0.0
179,"116.49,40.70",116.49,40.7,0.0,0.0,0.0,0.0
180,"116.70,39.97",116.7,39.97,0.0,4.0,0.0,1.0
181,"116.55,40.02",116.55,40.02,0.0,5.0,0.0,0.0
182,"116.54,40.02",116.54,40.02,0.0,10.0,0.0,0.0
183,"116.65,40.21",116.65,40.21,0.0,10.0,0.0,0.0
184,"116.48,40.10",116.48,40.1,0.0,6.0,0.0,0.0
185,"116.48,39.92",116.48,39.92,2.0,10.0,8.0,2.0
186,"116.65,40.45",116.65,40.45,0.0,0.0,0.0,0.0
187,"117.06,40.28",117.06,40.28,0.0,1.0,0.0,0.0
188,"116.12,39.70",116.12,39.7,0.0,3.0,0.0,0.0
189,"117.01,40.12",117.01,40.12,0.0,6.0,0.0,1.0
190,"116.78,40.35",116.78,40.35,0.0,6.0,0.0,0.0
191,"116.72,39.99",116.72,39.99,0.0,10.0,0.0,0.0
192,"116.47,40.10",116.47,40.1,0.0,6.0,0.0,1.0
193,"117.00,40.03",117.0,40.03,0.0,8.0,0.0,0.0
194,"116.65,39.93",116.65,39.93,1.0,10.0,2.0,0.0
195,"116.31,39.93",116.31,39.93,2.0,10.0,10.0,5.0
196,"116.30,40.19",116.3,40.19,0.0,3.0,0.0,0.0
197,"116.94,40.08",116.94,40.08,0.0,1.0,0.0,0.0
198,"116.33,40.33",116.33,40.33,0.0,0.0,0.0,0.0
199,"116.13,39.60",116.13,39.6,0.0,5.0,0.0,1.0
200,"116.33,39.76",116.33,39.76,1.0,10.0,10.0,1.0
201,"116.58,39.99",116.58,39.99,0.0,6.0,0.0,0.0
202,"116.13,39.82",116.13,39.82,0.0,7.0,0.0,0.0
203,"116.71,40.15",116.71,40.15,0.0,6.0,0.0,0.0
204,"116.05,39.92",116.05,39.92,0.0,0.0,0.0,0.0
205,"116.83,40.35",116.83,40.35,0.0,8.0,0.0,0.0
206,"116.19,39.92",116.19,39.92,2.0,10.0,0.0,1.0
207,"115.81,39.53",115.81,39.53,0.0,2.0,0.0,0.0
208,"116.28,39.66",116.28,39.66,0.0,4.0,0.0,0.0
209,"116.78,39.71",116.78,39.71,0.0,3.0,0.0,0.0
210,"115.93,40.43",115.93,40.43,0.0,3.0,0.0,0.0
211,"116.87,39.75",116.87,39.75,0.0,2.0,0.0,0.0
212,"117.16,40.22",117.16,40.22,0.0,0.0,0.0,0.0
213,"116.43,39.68",116.43,39.68,0.0,10.0,0.0,1.0
214,"116.72,40.13",116.72,40.13,0.0,3.0,0.0,1.0
215,"116.10,40.18",116.1,40.18,0.0,0.0,0.0,0.0
216,"116.59,40.14",116.59,40.14,0.0,6.0,0.0,0.0
217,"115.99,39.66",115.99,39.66,0.0,10.0,0.0,0.0
218,"116.43,40.07",116.43,40.07,1.0,10.0,1.0,0.0
219,"116.49,39.85",116.49,39.85,0.0,6.0,1.0,1.0
220,"115.76,39.59",115.76,39.59,0.0,1.0,0.0,0.0
221,"116.45,40.15",116.45,40.15,0.0,9.0,0.0,0.0
222,"116.25,40.01",116.25,40.01,0.0,5.0,0.0,0.0
223,"116.36,39.89",116.36,39.89,1.0,10.0,2.0,3.0
224,"116.29,40.10",116.29,40.1,1.0,10.0,0.0,0.0
225,"116.18,40.08",116.18,40.08,0.0,1.0,1.0,1.0
226,"116.55,40.25",116.55,40.25,0.0,9.0,0.0,0.0
227,"116.58,39.83",116.58,39.83,0.0,7.0,0.0,0.0
228,"116.20,40.18",116.2,40.18,0.0,6.0,0.0,0.0
229,"116.55,39.66",116.55,39.66,0.0,2.0,0.0,0.0
230,"116.83,40.36",116.83,40.36,0.0,10.0,0.0,1.0
231,"116.29,39.80",116.29,39.8,0.0,10.0,0.0,0.0
232,"115.91,39.66",115.91,39.66,0.0,3.0,0.0,0.0
233,"115.94,39.82",115.94,39.82,0.0,10.0,0.0,0.0
234,"117.05,40.40",117.05,40.4,0.0,7.0,0.0,0.0
235,"116.88,40.37",116.88,40.37,0.0,3.0,0.0,0.0
236,"116.14,39.77",116.14,39.77,0.0,3.0,0.0,0.0
237,"116.09,39.70",116.09,39.7,0.0,3.0,0.0,1.0
238,"116.68,39.75",116.68,39.75,0.0,3.0,0.0,0.0
239,"116.47,39.70",116.47,39.7,0.0,0.0,0.0,0.0
240,"116.03,40.20",116.03,40.2,0.0,3.0,0.0,0.0
241,"116.59,40.29",116.59,40.29,0.0,10.0,0.0,1.0
242,"116.32,40.06",116.32,40.06,1.0,10.0,0.0,1.0
243,"115.89,39.82",115.89,39.82,0.0,10.0,0.0,1.0
244,"116.71,39.67",116.71,39.67,0.0,3.0,0.0,0.0
245,"116.25,40.28",116.25,40.28,0.0,0.0,0.0,0.0
246,"116.95,40.56",116.95,40.56,0.0,4.0,0.0,0.0
247,"116.10,39.88",116.1,39.88,0.0,1.0,0.0,0.0
248,"115.71,39.96",115.71,39.96,0.0,0.0,0.0,0.0
249,"116.75,40.03",116.75,40.03,0.0,3.0,0.0,0.0
250,"116.68,39.86",116.68,39.86,0.0,1.0,1.0,0.0
251,"115.99,39.69",115.99,39.69,0.0,10.0,1.0,2.0
252,"116.39,39.99",116.39,39.99,3.0,10.0,5.0,3.0
253,"116.36,39.51",116.36,39.51,0.0,5.0,0.0,0.0
254,"116.35,40.02",116.35,40.02,0.0,10.0,6.0,0.0
255,"116.16,40.17",116.16,40.17,0.0,10.0,0.0,0.0
256,"116.51,40.12",116.51,40.12,0.0,4.0,0.0,0.0
257,"116.86,39.83",116.86,39.83,0.0,1.0,0.0,0.0
258,"116.06,40.22",116.06,40.22,0.0,8.0,0.0,0.0
259,"116.31,40.10",116.31,40.1,1.0,10.0,10.0,0.0
260,"116.49,39.97",116.49,39.97,2.0,10.0,3.0,0.0
261,"116.33,40.04",116.33,40.04,1.0,10.0,2.0,0.0
262,"116.39,40.26",116.39,40.26,0.0,0.0,0.0,0.0
263,"116.45,40.03",116.45,40.03,0.0,10.0,0.0,0.0
264,"117.15,40.42",117.15,40.42,0.0,3.0,0.0,0.0
265,"116.83,39.67",116.83,39.67,0.0,0.0,0.0,0.0
266,"116.92,39.75",116.92,39.75,0.0,0.0,0.0,0.0
267,"116.87,40.39",116.87,40.39,0.0,10.0,1.0,3.0
268,"117.24,40.62",117.24,40.62,0.0,6.0,0.0,0.0
269,"116.36,39.53",116.36,39.53,0.0,0.0,0.0,0.0
270,"115.94,39.62",115.94,39.62,0.0,4.0,0.0,0.0
271,"116.71,39.79",116.71,39.79,0.0,10.0,0.0,0.0
272,"116.63,39.82",116.63,39.82,0.0,1.0,0.0,0.0
273,"116.99,40.05",116.99,40.05,0.0,0.0,0.0,0.0
274,"115.69,39.63",115.69,39.63,0.0,0.0,0.0,0.0
275,"115.59,40.05",115.59,40.05,0.0,0.0,0.0,0.0
276,"116.68,40.13",116.68,40.13,1.0,10.0,1.0,0.0
277,"116.40,40.46",116.4,40.46,0.0,0.0,0.0,0.0
278,"116.37,40.03",116.37,40.03,1.0,10.0,1.0,1.0
279,"116.41,39.59",116.41,39.59,0.0,0.0,0.0,0.0
280,"116.24,39.69",116.24,39.69,0.0,0.0,0.0,0.0
281,"116.45,39.54",116.45,39.54,0.0,8.0,0.0,0.0
282,"116.90,40.16",116.9,40.16,0.0,4.0,0.0,1.0
283,"116.48,39.64",116.48,39.64,0.0,2.0,0.0,0.0
284,"116.19,39.84",116.19,39.84,0.0,7.0,0.0,0.0
285,"116.39,40.09",116.39,40.09,0.0,10.0,1.0,0.0
286,"116.22,39.92",116.22,39.92,1.0,10.0,0.0,3.0
287,"116.26,39.77",116.26,39.77,0.0,1.0,0.0,0.0
288,"116.51,40.47",116.51,40.47,0.0,0.0,0.0,0.0
289,"116.07,39.86",116.07,39.86,0.0,0.0,0.0,0.0
290,"116.68,39.83",116.68,39.83,0.0,0.0,0.0,0.0
291,"116.16,40.16",116.16,40.16,0.0,4.0,0.0,1.0
292,"116.13,40.15",116.13,40.15,0.0,0.0,0.0,0.0
293,"116.21,39.74",116.21,39.74,0.0,2.0,0.0,0.0
294,"116.32,40.07",116.32,40.07,1.0,10.0,0.0,1.0
295,"116.27,40.03",116.27,40.03,1.0,6.0,0.0,1.0
296,"116.27,39.60",116.27,39.6,0.0,1.0,0.0,0.0
297,"116.05,39.63",116.05,39.63,0.0,7.0,5.0,0.0
298,"116.47,39.94",116.47,39.94,2.0,10.0,7.0,4.0
299,"117.01,40.07",117.01,40.07,0.0,4.0,0.0,1.0
300,"116.87,39.82",116.87,39.82,0.0,2.0,0.0,0.0
301,"116.52,40.14",116.52,40.14,0.0,2.0,0.0,0.0
302,"116.37,40.21",116.37,40.21,0.0,2.0,0.0,0.0
303,"116.32,40.02",116.32,40.02,0.0,8.0,10.0,1.0
304,"116.51,39.86",116.51,39.86,1.0,6.0,2.0,1.0
305,"116.29,40.22",116.29,40.22,2.0,10.0,0.0,1.0
306,"116.14,39.64",116.14,39.64,0.0,1.0,0.0,0.0
307,"116.43,40.17",116.43,40.17,0.0,0.0,0.0,0.0
308,"116.45,39.90",116.45,39.9,2.0,10.0,2.0,6.0
309,"117.32,40.64",117.32,40.64,0.0,2.0,0.0,0.0
310,"116.05,40.28",116.05,40.28,0.0,2.0,0.0,0.0
311,"116.27,40.39",116.27,40.39,0.0,0.0,0.0,0.0
312,"116.00,40.46",116.0,40.46,0.0,10.0,3.0,1.0
313,"117.02,40.14",117.02,40.14,0.0,7.0,1.0,0.0
314,"116.40,40.04",116.4,40.04,0.0,5.0,0.0,0.0
315,"116.43,39.73",116.43,39.73,0.0,10.0,0.0,0.0
316,"116.35,40.25",116.35,40.25,0.0,1.0,0.0,0.0
317,"116.59,39.99",116.59,39.99,0.0,5.0,0.0,1.0
318,"116.18,40.02",116.18,40.02,0.0,0.0,0.0,0.0
319,"116.45,39.74",116.45,39.74,0.0,10.0,0.0,0.0
320,"115.95,40.43",115.95,40.43,0.0,3.0,0.0,1.0
321,"115.97,39.79",115.97,39.79,0.0,0.0,0.0,0.0
322,"116.44,39.61",116.44,39.61,0.0,1.0,0.0,0.0
323,"116.52,39.73",116.52,39.73,0.0,1.0,0.0,0.0
324,"116.06,39.63",116.06,39.63,0.0,3.0,6.0,0.0
325,"116.95,40.29",116.95,40.29,0.0,3.0,0.0,0.0
326,"115.85,39.64",115.85,39.64,0.0,1.0,0.0,0.0
327,"117.08,40.13",117.08,40.13,0.0,1.0,0.0,0.0
328,"116.64,40.10",116.64,40.1,0.0,7.0,0.0,0.0
329,"116.45,40.24",116.45,40.24,0.0,5.0,0.0,0.0
330,"116.51,39.85",116.51,39.85,0.0,10.0,1.0,0.0
331,"115.97,40.45",115.97,40.45,0.0,8.0,0.0,0.0
332,"116.81,40.14",116.81,40.14,0.0,1.0,0.0,0.0
333,"115.96,39.89",115.96,39.89,0.0,0.0,0.0,0.0
334,"116.93,40.16",116.93,40.16,0.0,5.0,0.0,0.0
335,"116.69,39.81",116.69,39.81,0.0,2.0,0.0,0.0
336,"116.46,39.76",116.46,39.76,1.0,9.0,0.0,0.0
337,"116.87,40.47",116.87,40.47,0.0,2.0,0.0,1.0
338,"116.38,40.70",116.38,40.7,0.0,2.0,0.0,0.0
339,"116.06,40.29",116.06,40.29,0.0,1.0,0.0,0.0
340,"116.29,40.06",116.29,40.06,0.0,10.0,0.0,0.0
341,"115.95,39.63",115.95,39.63,0.0,3.0,0.0,0.0
342,"115.62,39.94",115.62,39.94,0.0,1.0,0.0,0.0
343,"116.23,39.91",116.23,39.91,1.0,10.0,1.0,5.0
344,"116.09,39.81",116.09,39.81,0.0,6.0,0.0,0.0
345,"116.80,40.17",116.8,40.17,0.0,1.0,0.0,0.0
346,"116.44,39.75",116.44,39.75,0.0,7.0,0.0,0.0
347,"115.92,39.69",115.92,39.69,0.0,0.0,0.0,0.0
348,"116.29,40.08",116.29,40.08,0.0,6.0,0.0,0.0
349,"116.55,40.21",116.55,40.21,0.0,3.0,0.0,0.0
350,"116.63,40.23",116.63,40.23,0.0,1.0,0.0,0.0
351,"116.61,39.80",116.61,39.8,0.0,3.0,0.0,0.0
352,"116.65,39.81",116.65,39.81,0.0,2.0,0.0,0.0
353,"116.45,40.09",116.45,40.09,0.0,10.0,0.0,2.0
354,"116.63,39.86",116.63,39.86,0.0,7.0,0.0,0.0
355,"116.85,40.06",116.85,40.06,0.0,0.0,0.0,0.0
356,"116.13,40.04",116.13,40.04,0.0,0.0,0.0,0.0
357,"116.19,40.18",116.19,40.18,0.0,7.0,0.0,0.0
358,"116.81,40.48",116.81,40.48,0.0,1.0,0.0,0.0
359,"116.50,40.01",116.5,40.01,1.0,10.0,2.0,0.0
360,"116.37,39.99",116.37,39.99,2.0,10.0,10.0,5.0
361,"116.05,39.62",116.05,39.62,0.0,5.0,0.0,0.0
362,"116.45,39.79",116.45,39.79,0.0,7.0,0.0,0.0
363,"115.83,39.56",115.83,39.56,0.0,7.0,0.0,2.0
364,"116.52,39.83",116.52,39.83,0.0,10.0,0.0,1.0
365,"116.89,40.12",116.89,40.12,0.0,4.0,0.0,0.0
366,"116.23,40.24",116.23,40.24,0.0,10.0,8.0,1.0
367,"116.19,40.07",116.19,40.07,1.0,5.0,0.0,1.0
368,"117.09,40.13",117.09,40.13,0.0,6.0,0.0,1.0
369,"116.45,40.21",116.45,40.21,0.0,3.0,0.0,0.0
370,"116.63,39.72",116.63,39.72,0.0,3.0,0.0,0.0
371,"116.50,39.87",116.5,39.87,1.0,10.0,0.0,4.0
372,"116.19,39.76",116.19,39.76,2.0,10.0,1.0,0.0
373,"116.44,40.08",116.44,40.08,0.0,10.0,1.0,1.0
374,"116.64,40.12",116.64,40.12,0.0,10.0,0.0,1.0
375,"116.38,40.23",116.38,40.23,0.0,10.0,0.0,0.0
376,"115.82,39.57",115.82,39.57,0.0,1.0,0.0,1.0
377,"116.98,40.06",116.98,40.06,0.0,3.0,0.0,0.0
378,"116.79,40.54",116.79,40.54,0.0,0.0,0.0,0.0
379,"116.47,39.74",116.47,39.74,0.0,8.0,1.0,0.0
380,"116.09,39.80",116.09,39.8,0.0,1.0,0.0,0.0
381,"117.20,40.20",117.2,40.2,0.0,4.0,0.0,0.0
382,"116.07,39.61",116.07,39.61,0.0,2.0,0.0,0.0
383,"116.14,39.89",116.14,39.89,0.0,3.0,0.0,0.0
384,"116.22,40.30",116.22,40.3,0.0,0.0,0.0,0.0
385,"116.23,40.31",116.23,40.31,0.0,1.0,0.0,0.0
386,"116.42,39.95",116.42,39.95,3.0,10.0,10.0,5.0
387,"116.39,39.61",116.39,39.61,0.0,0.0,0.0,0.0
388,"116.35,40.04",116.35,40.04,1.0,10.0,10.0,4.0
389,"116.69,40.29",116.69,40.29,0.0,10.0,0.0,2.0
390,"116.44,39.70",116.44,39.7,0.0,4.0,0.0,0.0
391,"116.00,40.31",116.0,40.31,0.0,0.0,0.0,0.0
392,"116.38,40.02",116.38,40.02,1.0,10.0,0.0,1.0
393,"116.41,40.23",116.41,40.23,0.0,6.0,0.0,1.0
394,"116.45,39.56",116.45,39.56,0.0,7.0,0.0,0.0
395,"116.07,39.84",116.07,39.84,0.0,3.0,0.0,0.0
396,"116.37,40.14",116.37,40.14,0.0,3.0,0.0,0.0
